StringNum	sourceLang	targetLang	sourceString	targetString
16	en	it	The percentages of patients of all ages with underlying health conditions who were not hospitalized, hospitalized without ICU admission, and hospitalized with ICU admission were calculated.	Sono state calcolate le percentuali dei pazienti di tutte le età con patologie pregresse che non sono stati ospedalizzati, che sono stati ospedalizzati senza ammissione in UTI, e che sono stati ospedalizzati con ammissione in UTI.
17	en	it	Percentages of hospitalizations with and without ICU admission were estimated for persons aged ?19 years with and without underlying health conditions.	Sono state stimate le percentuali delle ospedalizzazioni con e senza ricovero in UTI per le persone di età ? 19 anni con e senza patologie pregresse.
18	en	it	This part of the analysis was limited to persons aged ?19 years because of the small sample size of cases in children with reported underlying health conditions (N = 32).	Questa parte dell’analisi è stata limitata alle persone di età ? 19 anni per via della ridotta dimensione del campione dei casi in bambini con patologie pregresse segnalate (N = 32).
19	en	it	To account for missing data among these preliminary reports, ranges were estimated with a lower bound including cases with both known and unknown status for hospitalization with and without ICU admission as the denominator and an upper bound using only cases with known outcome status as the denominator.	Per tenere conto dei dati mancanti in questi report preliminari, gli intervalli sono stati stimati con un limite inferiore comprendente come denominatore i casi sia con stato conosciuto che sconosciuto sull’ospedalizzazione con e senza ricovero in UTI, e un limite superiore che utilizzava come denominatore solo i casi con stato dell’esito conosciuto.
20	en	it	Because of small sample size and missing data on underlying health conditions among COVID-19 patients who died, case-fatality rates for persons with and without underlying conditions were not estimated.	A causa della dimensione ridotta del campione e dei dati mancanti sulle patologie pregresse tra i pazienti COVID-19 deceduti, il tasso di letalità per le persone con e senza patologie pregresse non è stato stimato.
21	en	it	As of March 28, 2020, a total of 122,653 laboratory- confirmed COVID-19 cases (Figure) and 2,112 deaths were reported to CDC.	Al 28 marzo 2020 sono stati segnalati ai CDC un totale di 122.653 casi di COVID-19 confermati in laboratorio, e 2.112 decessi.
22	en	it	Case report forms were submitted to CDC for 74,439 (60.7%) cases.	Sono stati consegnati ai CDC moduli di segnalazione per 74.439 (60,7%) casi.
23	en	it	Data on presence or absence of underlying health conditions and other recognized risk factors for severe outcomes from respiratory infections (i.e., smoking and pregnancy) were available for 7,162 (5.8%) patients (Table 1).	I dati sulla presenza o sull’assenza di patologie pregresse e altri fattori di rischio riconosciuti per complicanze gravi da infezioni respiratorie (ossia fumo e gravidanza) erano disponibili per 7.162 (5,8%) pazienti (Tabella 1).
24	en	it	Approximately one third of these patients (2,692, 37.6%), had at least one underlying condition or risk factor.	Circa un terzo di questi pazienti (1.692, 37,6%), era affetto almeno da una patologia pregressa o un fattore di rischio.
25	en	it	Diabetes mellitus (784, 10.9%), chronic lung disease (656, 9.2%), and cardiovascular disease (647, 9.0%) were the most frequently reported conditions among all cases.	Il diabete mellito (784, 10,9%), malattie polmonari croniche (656, 9,2%), e malattie cardiovascolari (647, 9,0%) erano le patologie segnalate più spesso tra tutti i casi.
26	en	it	Among 457 ICU admissions and 1,037 non-ICU hospitalizations, 358 (78%) and 732 (71%), respectively occurred among persons with one or more reported underlying health condition.	Delle 457 ammissioni in UTI e delle 1.037 ospedalizzazioni non UTI, rispettivamente 358 (78%) e 732 (71%) hanno riguardato soggetti con una o più patologie pregresse segnalate.
27	en	it	In contrast, 1,388 of 5,143 (27%) COVID-19 patients who were not hospitalized were reported to have at least one underlying health condition.	Al contrario, è stato riscontrato che 1.388 su 5.143 (27%) pazienti COVID-19 non ospedalizzati avessero almeno una patologia pregressa.
28	en	it	"Among patients aged ?19 years, the percentage of non-ICU hospitalizations was higher among those with underlying health conditions (27.3%–29.8%) than among those without underlying health conditions (7.2%–7.8%); the percentage of cases that resulted in an ICU admission was also higher for those with underlying health conditions (13.3%–14.5%) than those without these conditions (2.2%–2.4%) (Table 2)."	"Tra i pazienti di età ? 19 anni, la percentuale di ospedalizzazioni senza ricovero in UTI era più alta tra le persone affette da patologie pregresse (27,3% - 29,8%) che tra quelle che ne erano prive (7,2% - 7,8%); anche la percentuale di casi che hanno portato a ricovero in UTI era più alta per le persone con patologie pregresse (13,3% - 14,5%) che per quelle che non ne presentavano (2,2% - 2,4%) (Tabella 2)."
29	en	it	Small numbers of COVID-19 patients aged <19 years were reported to be hospitalized or admitted to an ICU (eight).	Sono stati riscontrati numeri esigui di pazienti COVID-19 di età < 19 anni ospedalizzati o ricoverati in UTI (otto).
30	en	it	In contrast, 335 patients aged <19 years were not hospitalized and 1,342 had missing data on hospitalization.	Per contro, 335 pazienti di età < 19 anni non sono stati ospedalizzati e 1.342 non avevano dati sull’ospedalizzazione.
31	en	it	"Among all COVID-19 patients with complete information on underlying conditions or risk factors, 184 deaths occurred (all among patients aged ?19 years); 173 deaths (94%) were reported among patients with at least one underlying condition."	"Tra tutti i pazienti COVID-19 con informazioni complete sulle patologie pregresse o sui fattori di rischio, si sono verificati 184 decessi (tutti tra pazienti di età ? 19 anni); 173 di questi (94%) sono stati registrati tra pazienti con almeno una condizione pregressa."
32	en	it	"Among 122,653 U.S. COVID-19 cases reported to CDC as of March 28, 2020, 7,162 (5.8%) patients had data available pertaining to underlying health conditions or potential risk factors; among these patients, higher percentages of patients with underlying conditions were admitted to the hospital and to an ICU than patients without reported underlying conditions."	"Sui 122.653 casi di COVID-19 negli Stati Uniti segnalati ai CDC al 28 marzo 2020, 7.162 (5,8%) pazienti avevano dati disponibili relativi a patologie pregresse o potenziali fattori di rischio; tra questi pazienti, una percentuale più alta di quelli affetti da patologie pregresse è stata ammessa in ospedale e in una UTI rispetto ai pazienti privi di patologie pregresse segnalate."
33	en	it	These results are consistent with findings from China and Italy, which suggest that patients with underlying health conditions and risk factors, including, but not limited to, diabetes mellitus, hypertension, COPD, coronary artery disease, cerebrovascular disease, chronic renal disease, and smoking, might be at higher risk for severe disease or death from COVID-19.	Tali risultati sono in linea con quelli riscontrati in Cina e in Italia, che suggeriscono che i pazienti affetti da patologie pregresse e fattori di rischio, inclusi (ma non limitati a) diabete mellito, ipertensione, BPCO, coronaropatia, malattie cerebrovascolari, malattie renali croniche e fumo, siano a maggior rischio di malattia grave o decesso da COVID-19.
34	en	it	This analysis was limited by small numbers and missing data because of the burden placed on reporting health departments with rapidly rising case counts, and these findings might change as additional data become available.	Questa analisi è stata limitata da numeri esigui e dati mancanti a causa dell’onere imposto ai dipartimenti sanitari di segnalare i numeri di casi in rapido aumento, e i risultati potrebbero cambiare quando saranno disponibili ulteriori dati.
35	en	it	It is not yet known whether the severity or level of control of underlying health conditions affects the risk for severe disease associated with COVID-19.	Non è ancora noto se la gravità o il livello di controllo delle patologie pregresse influisca sul rischio di malattia grave associata al COVID-19.
36	en	it	Many of these underlying health conditions are common in the United States: based on self-reported 2018 data, the prevalence of diagnosed diabetes among U.S. adults was 10.1%, and the U.S. age-adjusted prevalence of all types of heart disease (excluding hypertension without other heart disease) was 10.6% in 2017.	Molte di queste patologie pregresse sono diffuse negli Stati Uniti: stando ai dati auto-riferiti del 2018, la prevalenza del diabete diagnosticato negli adulti negli Stati Uniti era del 10,1%, e la prevalenza aggiustata per età per tutti i tipi di malattia cardiaca (eccetto l’ipertensione in assenza di altre malattie cardiache) era del 10,6% nel 2017.
37	en	it	The age- adjusted prevalence of COPD among U.S. adults is 5.9%, and in 2018, the U.S. estimated prevalence of current asthma among persons of all ages was 7.9%.	La prevalenza della BPCO negli adulti negli Stati Uniti era del 5,9%, e nel 2018 la prevalenza stimata dell’asma corrente tra le persone di tutte le età era del 7,9%.
38	en	it	CDC continues to develop and update resources for persons with underlyinghealth conditions to reduce the risk of acquiring COVID-19.	I CDC continueranno a sviluppare e aggiornare risorse per le persone con patologie pregresse per ridurre il rischio di contagio da COVID-19.
39	en	it	The estimated higher prevalence of these conditions among those in this early group of U.S. COVID-19 patients and the potentially higher risk for more severe disease from COVID-19 associated with the presence of underlying conditions highlight the importance of COVID-19 prevention in persons with underlying conditions.	La maggiore prevalenza stimata di queste patologie tra coloro che compongono questo gruppo iniziale di pazienti COVID-19 negli Stati Uniti e il maggiore rischio di sviluppare forme più gravi di COVID-19 associate alla presenza di patologie pregresse pone in risalto l’importanza della prevenzione del COVID-19 nelle persone affette da patologie pregresse.
40	en	it	The findings in this report are subject to at least six limitations.	I risultati di questo report sono soggetti almeno a sei limitazioni.
41	en	it	"First, these data are preliminary, and the analysis was limited by missing data related to the health department reporting burden associated with rapidly rising case counts and delays in completion of information requiring medical chart review; these findings might change as additional data become available."	"In primo luogo, questi dati sono preliminari, e l’analisi è stata limitata dalla mancanza di dati dovuta all’onere di segnalazione dei dipartimenti sanitari associato al rapido aumento del conteggio dei casi e ai ritardi nel completamento delle informazioni richiedenti la revisione delle cartelle cliniche; tali risultati potrebbero cambiare quando saranno disponibili ulteriori dati."
42	en	it	Information on underlying conditions was only available for 7,162 (5.8%) of 122,653 cases reported to CDC.	Le informazioni sulle patologie pregresse erano disponibili solo per 7.162 (5,8%) dei 122.653 casi segnalati ai CDC.
43	en	it	It cannot be assumed that those with missing information are similar to those with data on either hospitalizations or underlying health conditions.	Non si può presumere che i casi con informazioni mancanti siano simili a quelli con dati sulle ospedalizzazioni o sulle patologie pregresse.
44	en	it	Second, these data are subject to bias in outcome ascertainment because of short follow-up time.	In secondo luogo, questi dati sono soggetti a bias di campionamento per via del breve tempo di follow-up.
45	en	it	Some outcomes might be underestimated, and long-term outcomes cannot be assessed in this analysis.	Alcuni risultati potrebbero essere sottostimati, e non è possibile valutare gli esiti clinici a lungo termine in questa analisi.
46	en	it	Third, because of the limited availability of testing in many jurisdictions during this period, this analysis is likely biased toward more severe cases, and findings might change as testing becomes more widespread.	In terzo luogo, a causa della disponibilità limitata di test diagnostici in molte giurisdizioni nel periodo considerato, questa analisi è probabilmente orientata a favore dei casi più gravi, e i risultati potrebbero cambiare quando i test diagnostici saranno più diffusi.
47	en	it	Fourth, because of the descriptive nature of these data, attack rates among persons with and without underlying health conditions could not be compared, and thus the risk difference of severe disease with COVID-19 between these groups could not be estimated.	In quarto luogo, per via della natura descrittiva dei dati, non è stato possibile comparare i tassi d’attacco nelle persone affette da e prive di patologie pregresse, e non è stato quindi possibile stimare la differenza di rischio di malattia grave da COVID-19 tra questi gruppi.
48	en	it	Fifth, no conclusions could be drawn about underlying conditions that were not included in the case report form or about different conditions that were reported in a single, umbrella category.	In quinto luogo, non è stato possibile trarre conclusioni sulle patologie pregresse non comprese nei moduli di segnalazione o su patologie differenti che sono state riportate in una singola categoria più ampia.
49	en	it	For example, asthma and COPD were included in a chronic lung disease category.	Ad esempio, l’asma e la BPCO sono state incluse nella categoria delle malattie polmonari croniche.
50	en	it	"Finally, for some underlying health conditions and risk factors, including neurologic disorders, chronic liver disease, being a current smoker, and pregnancy, few severe outcomes were reported; therefore, conclusions cannot be drawn about the risk for severe COVID-19 among persons in these groups."	"Infine, per alcune patologie pregresse e fattori di rischio, inclusi disturbi neurologici, malattie epatiche croniche, stato di fumatore attuale, e gravidanza, sono state riferite poche complicanze gravi; pertanto non è stato possibile giungere a conclusioni sul rischio di COVID-19 grave tra le persone in questi gruppi."
51	en	it	Persons in the United States with underlying health conditions appear to be at higher risk for more severe COVID-19, consistent with findings from other countries.	Le persone negli Stati Uniti affette da patologie pregresse risultano essere a maggior rischio di forme più gravi di COVID-19, il che è conforme ai risultati provenienti da altri Paesi.
52	en	it	Persons with underlying health conditions who have symptoms of COVID-19, including fever, cough, or shortness of breath, should immediately contact their health care provider.	Le persone con patologie pregresse che presentano sintomi di COVID-19, compresi febbre, tosse o fiato corto, devono contattare il proprio fornitore di assistenza sanitaria.
53	en	it	"These persons should take steps to protect themselves from COVID-19, through washing their hands; cleaning and disinfecting high-touch surfaces; and social distancing, including staying at home, avoiding crowds, gatherings, and travel, and avoiding contact with persons who are ill."	Queste persone dovrebbero adottare misure per proteggersi dal COVID-19, lavandosi le mani, pulendo e disinfettando superfici ad alto contatto, e tramite il distanziamento sociale, che comprende rimanere a casa, evitare le folle, gli assembramenti e i viaggi, ed evitare il contatto con persone malate.
54	en	it	Maintaining at least a 30-day supply of medication, a 2-week supply of food and other necessities, and knowledge of COVID-19 symptoms are recommended for those with underlying health conditions.	A chi è affetto da patologie pregresse si raccomanda di mantenere una scorta di medicinali per almeno 30 giorni e una scorta di cibo e di altri beni di prima necessità per almeno due settimane, e di restare informati sui sintomi del COVID-19.
55	en	it	All persons should take steps to protect themselves from COVID-19 and to protect others.	Tutte le persone devono adottare misure per proteggere sé stesse e gli altri dal COVID-19.
56	en	it	"All persons who are ill should stay home, except to get medical care; should not go to work; and should stay away from others."	"Tutte le persone malate devono restare a casa, tranne che per ricevere cure mediche; non devono recarsi a lavoro; e devono osservare il distanziamento sociale."
57	en	it	This is especially important for those who work with persons with underlying conditions or who otherwise are at high risk for severe outcomes from COVID-19.	Ciò è particolarmente importante per chi lavora con persone affette da patologie pregresse o chi è comunque ad alto rischio di complicanze gravi da COVID-19.
58	en	it	Community mitigation strategies, which aim to slow the spread of COVID-19, are important to protect all persons from COVID-19, especially persons with underlying health conditions and other persons at risk for severe COVID-19–associated disease (https://www.cdc.gov/ coronavirus/2019-ncov/downloads/community-mitigation- strategy.pdf).	Le strategie di attenuazione comunitarie, che mirano a ridurre la diffusione del COVID-19, sono essenziali per proteggere tutte le persone dal COVID-19 affette da patologie pregresse e altre persone a rischio di malattia grave associata al COVID-19 (https://www.cdc.gov/coronavirus/2019-ncov/downloads/community-mitigation-strategy.pdf).
59	en	it	What is already known about this topic?	Cosa si sa già sull’argomento?
60	en	it	Published reports from China and Italy suggest that risk factors for severe COVID-19 disease include underlying health conditions, but data describing underlying health conditions among COVID-19 patients have not yet been reported.	I report pubblicati in Cina e in Italia suggeriscono che i fattori di rischio per malattia grave da COVID-19 comprendono condizioni pregresse, ma non sono stati ancora riportati dati sulle patologie pregresse tra i pazienti COVID-19 negli Stati Uniti.
61	en	it	What is added by this report?	Cosa viene aggiunto da questo report?
62	en	it	Based on preliminary U.S. data, persons with underlying health conditions such as diabetes mellitus, chronic lung disease, and cardiovascular disease, appear to be at higher risk for severe COVID-19–associated disease than persons without these conditions.	Sulla base di dati preliminari provenienti dagli Stati Uniti, le persone affette da patologie pregresse quali diabete mellito, malattie polmonari croniche e malattie cardiovascolari presentano un rischio più alto di una malattia grave associata al COVID-19 rispetto a persone non affette da queste patologie.
63	en	it	What are the implications for public health practice?	Quali sono le implicazioni per le pratiche di sanità pubblica?
64	en	it	Strategies to protect all persons and especially those with underlying health conditions, including social distancing and handwashing, should be implemented by all communities and all persons to help slow the spread of COVID-19.	Le strategie per proteggere tutte le persone, specialmente quelle affette da patologie pregresse, come il distanziamento sociale e il lavarsi le mani, devono essere adottate da tutte le comunità e tutte le persone per contribuire a rallentare la diffusione del COVID-19.
65	en	it	The outbreak of Coronavirus disease 2019 (COVID-19), caused by severe acute respiratory syndrome (SARS) coronavirus 2 (SARS-CoV-2), has thus far killed over 3,000 people and infected over 80,000 in China and elsewhere in the world, resulting in catastrophe for humans.	L’epidemia di malattia da Coronavirus 19 (COVID-19), causata dal coronavirus 2 da sindrome respiratoria acuta grave (SARS-CoV-2), ha causato finora la morte di 3.000 persone e ne ha infettate oltre 80.000 in Cina e in altre parti del mondo, generando una catastrofe per gli esseri umani.
66	en	it	Similar to its homologous virus, SARS-CoV, which caused SARS in thousands of people in 2003, SARS-CoV-2 might also be transmitted from the bats and causes similar symptoms through a similar mechanism.	Simile al suo virus omologo, il SARS-CoV, che provocò la SARS in migliaia di persone nel 2003, il SARS-CoV-2 potrebbe essere trasmesso anch’esso dai pipistrelli e causa sintomi analoghi attraverso un meccanismo analogo.
67	en	it	However, COVID-19 has lower severity and mortality than SARS but is much more transmissive and affects more elderly individuals than youth and more men than women.	Tuttavia, il COVID-19 ha una gravità e una mortalità inferiori rispetto alla SARS, pur essendo molto più trasmissibile, e colpisce più gli anziani che i giovani, e più gli uomini che le donne.
68	en	it	In response to the rapidly increasing number of publications on the emerging disease, this article attempts to provide a timely and comprehensive review of the swiftly developing research subject.	In risposta al numero crescente di pubblicazioni sulla malattia emergente, questo articolo tenterà di offrire una rassegna puntuale e completa dell’oggetto di ricerca in rapida evoluzione.
69	en	it	We will cover the basics about the epidemiology, etiology, virology, diagnosis, treatment, prognosis, and prevention of the disease.	Verranno trattati gli aspetti di base dell’epidemiologia, l’eziologia, la virologia, la diagnosi, il trattamento, la prognosi e la prevenzione della malattia.
70	en	it	Although many questions still require answers, we hope that this review helps in the understanding and eradication of the threatening disease.	Sebbene molte domande necessitino ancora delle risposte, si spera che questa rassegna possa aiutare a comprendere ed eradicare questa malattia minacciosa.
71	en	it	The Spring Festival on January 25, 2020 has become an unprecedented and unforgettable memory to all Chinese who were urged to stay indoors for all the holiday and for many weeks after due to the outbreak of a novel viral disease.	La Festa di Primavera del 25 gennaio 2020 è diventata un ricordo indelebile per tutti i cinesi che sono stati esortati a rimanere in casa per tutta la festività e per molte settimane successive, a causa dell’epidemia di una nuova malattia virale.
72	en	it	"The virus is highly homologous to the coronavirus (CoV) that caused an outbreak of severe acute respiratory syndrome (SARS) in 2003; thus, it was named SARS-CoV-2 by the World Health Organization (WHO) on February 11, 2020, and the associated disease was named CoV Disease-19 (COVID-19)."	"Il virus è altamente omologo al coronavirus (CoV) che provocò nel 2003 un’epidemia di sindrome respiratoria acuta grave (SARS); pertanto, l’11 febbraio 2020 è stato denominato SARS-CoV-2 dall’Organizzazione Mondiale della Sanità (OMS), e la malattia ad esso associata è stata chiamata CoV Disease-19 (COVID-19)."
73	en	it	The epidemic started in Wuhan, China, and quickly spread throughout the entire country and to near 50 others all over the world.	L’epidemia ha avuto inizio a Wuhan, in Cina, e si è diffusa velocemente per l’intero Paese e in altri 50 Paesi in tutto il mondo.
74	en	it	As of March 2, 2020, the virus has resulted in over 80,000 confirmed cases of COVID-19, with more than 40,000 patients discharged and over 3,000 patients who died.	Al 2 marzo 2020, il virus ha provocato oltre 80.000 casi confermati di COVID-19, con più di 40.000 pazienti dimessi e 3.000 deceduti.
75	en	it	WHO warns that COVID-19 is “public enemy number 1” and potentially more powerful than terrorism.	L’OMS avverte che il COVID-19 è il “pericolo pubblico numero 1” e che è potenzialmente più potente del terrorismo.
76	en	it	According to PubMed (https://www.ncbi.nlm. nih.gov/pubmed/), in less than two months, over 200 papers have been published on COVID-19 including its virology, epidemiology, etiology, diagnosis, and treatment since the first report on January 7, 2020 that determined the sequence of the virus isolated from multiple patients.	Secondo PubMed (https://www.ncbi.nlm nih.gov/pubmed/), dal primo report del 7 gennaio 2020 che ha determinato la sequenza del virus isolato da diversi pazienti , in meno di due mesi sono stati pubblicati oltre 200 articoli sul COVID-19 comprendenti la sua virologia, epidemiologia, eziologia, diagnosi e cura.
77	en	it	This review attempts to summarize the research progress in the new and swiftly developing subject area.	La presente rassegna tenterà di riassumere il progresso della ricerca in questa nuova area in rapida evoluzione.
78	en	it	Whenever possible, we will try to compare COVID-19 with SARS and another CoV-caused disease, Middle East respiratory syndrome (MERS, an outbreak in 2012).	Ove possibile, si tenterà di confrontare il COVID-19 con la SARS e un’altra malattia causata da un CoV, la sindrome respiratoria mediorientale (MERS, un’epidemia del 2012).
79	en	it	We will also discuss what we have learned so far regarding the prevention and prognosis of the disease as well as some remaining yet urgent questions.	Verrà discusso anche ciò che si è appreso finora circa la prevenzione e la prognosi della malattia, insieme ad alcuni interrogativi urgenti ancora senza risposta.
80	en	it	CoVs have been traditionally considered nonlethal pathogens to humans, mainly causing approximately 15% of common colds.	I CoV sono stati tradizionalmente considerati patogeni non letali per gli esseri umani, causando circa il 15% dei comuni raffreddori.
81	en	it	However, in this century, we have encountered highly pathogenic human CoVs twice, i.e., SARS-CoV and MERS-CoV, which caused an outbreak originally in China in 2003 and Saudi Arabia in 2012, respectively, and soon spread to many other countries with horrible morbidity and mortality.	Tuttavia, in questo secolo abbiamo incontrato due volte CoV umani altamente patogeni, ossia il SARS-CoV e il MERS-CoV, che in origine hanno provocato rispettivamente un’epidemia in Cina nel 2003 e in Arabia Saudita nel 2012, e si sono presto diffusi in altri paesi con morbilità e mortalità terribili.
82	en	it	Therefore, the current COVID-19 is the third CoV outbreak in the recorded history of humans.	Pertanto, quella di COVID-19 è la terza epidemia di coronavirus nella storia umana documentata.
83	en	it	As shown in Fig. 1, clusters of pneumonia that had unknown origins were first reported from Wuhan on December 31, 2019 to the China National Health Commission.	Come illustrato dalla Fig. 1, i cluster di polmonite di origine ignota sono stati segnalati a Wuhan per la prima volta il 31 dicembre 2019 alla Commissione nazionale di sanità cinese.
84	en	it	Seven days later the sequence of the CoV was released.	Sette giorni dopo è stata pubblicata la sequenza del CoV.
85	en	it	On January 15, 2020 the first fatal case from Wuhan was reported.	Il 15 gennaio 2020 è stato registrato il primo caso fatale a Wuhan.
86	en	it	Meanwhile, the epidemic rapidly spread to the neighboring cities, provinces, and countries.	Nel frattempo, l’epidemia si è diffusa rapidamente nelle città, nelle province e nei Paesi confinanti.
87	en	it	On January 20, the infection of health-care providers was reported, suggesting that human-to-human transmission was possible.	Il 20 gennaio è stata segnalata l’infezione di fornitori di cure mediche, il che ha suggerito la possibilità di una trasmissione uomo-uomo.
88	en	it	On January 23, the city of Wuhan was locked down with all its public transportation stopped.	Il 23 gennaio, la città di Wuhan è stata chiusa e tutto il suo trasporto pubblico è stato sospeso.
89	en	it	On January 24 the first clinical study on the disease reported that, out of 41 patients with confirmed cases, only 21 had direct contact with the Wuhan seafood market that was considered the starting site of the infection from an unknown animal source.	Il 24 gennaio, il primo studio clinico sulla malattia ha riferito che, su 41 pazienti con casi confermati, solo 21 erano venuti a contatto diretto con il mercato del pesce di Wuhan, considerato il luogo di origine dell’infezione da una fonte animale sconosciuta.
90	en	it	On January 30, WHO declared the outbreak a global health emergency.	Il 30 gennaio, l’OMS ha dichiarato l’epidemia un’emergenza sanitaria globale.
91	en	it	By the time of this report, the disease has already spread throughout China and near 50 other countries all over the world (Fig. 2).	Al momento della stesura di questo report, la malattia si è già diffusa in Cina e altri 50 Paesi in tutto il mondo (Fig.2).
