source,reference,MMT (baseline),LLM (base),BLEU (MMT base),BLEU (LLM base),BLEU (difference base MMT/LLM),chrF3 (MMT base),chrF3 (LLM base),chrF3 (difference base MMT/LLM),COMET (MMT base),COMET (LLM base),COMET (difference base MMT/LLM)
"Among all COVID-19 patients with complete information on underlying conditions or risk factors, 184 deaths occurred (all among patients aged ≥19 years); 173 deaths (94%) were reported among patients with at least one underlying condition.","Tra tutti i pazienti COVID-19 con informazioni complete sulle patologie pregresse o sui fattori di rischio, si sono verificati 184 decessi (tutti tra pazienti di età ≥19 anni); 173 di questi (94%) sono stati registrati tra pazienti con almeno una condizione pregressa.","Tra tutti i pazienti COVID-19 con informazioni complete su condizioni o fattori di rischio sottostanti, si sono verificati 184 decessi (tutti tra i pazienti di età pari o superiore a 19 anni); 173 decessi (94%) sono stati segnalati tra i pazienti con almeno una condizione sottostante.","Tra tutti i pazienti con COVID-19 con informazioni complete sulle condizioni sottostanti o sui fattori di rischio, si sono verificati 184 decessi (tutti tra pazienti di età ≥19 anni); 173 decessi (94%) sono stati segnalati tra pazienti con almeno una condizione sottostante.",51.126,72.711,-21.585,73.24,79.62,-6.38,0.911,0.903,0.008
"This analysis was limited by small numbers and missing data because of the burden placed on reporting health departments with rapidly rising case counts, and these findings might change as additional data become available.","Questa analisi è stata limitata da numeri esigui e dati mancanti a causa dell’onere imposto ai dipartimenti sanitari di segnalare i numeri di casi in rapido aumento, e i risultati potrebbero cambiare quando saranno disponibili ulteriori dati.",Questa analisi è stata limitata da piccoli numeri e dati mancanti a causa dell'onere gravante sui reparti sanitari di segnalazione con un rapido aumento del numero di casi e questi risultati potrebbero cambiare man mano che diventano disponibili dati aggiuntivi.,"Questa analisi è stata limitata da numeri piccoli e dati mancanti a causa del carico aggiuntivo posto sui dipartimenti sanitari che riferiscono, con numeri di casi in rapida ascesa, e queste scoperte potrebbero cambiare quando ulteriori dati diventeranno disponibili.",27.549,34.355,-6.806,67.784,71.484,-3.7,0.895,0.822,0.073
"The age- adjusted prevalence of COPD among U.S. adults is 5.9%, and in 2018, the U.S. estimated prevalence of current asthma among persons of all ages was 7.9%.","La prevalenza della BPCO negli adulti negli Stati Uniti era del 5,9%, e nel 2018 la prevalenza stimata dell’asma corrente tra le persone di tutte le età era del 7,9%.","La prevalenza aggiustata per età della BPCO tra gli adulti statunitensi è del 5,9% e, nel 2018, negli Stati Uniti la prevalenza stimata dell'asma attuale tra le persone di tutte le età è stata del 7,9%.","La prevalenza rettificata per età della BPCO tra gli adulti statunitensi è del 5,9% e nel 2018 è stata stimata la prevalenza di asma attuale negli Stati Uniti tra le persone di tutte le età del 7,9%.",32.191,32.74,-0.549,69.468,67.637,1.831,0.885,0.88,0.005
The findings in this report are subject to at least six limitations.,I risultati di questo report sono soggetti almeno a sei limitazioni.,I risultati di questo rapporto sono soggetti ad almeno sei limitazioni.,I risultati in questo rapporto sono soggetti ad almeno sei limitazioni.,35.084,19.729,15.355,79.243,72.073,7.17,0.968,0.946,0.022
It cannot be assumed that those with missing information are similar to those with data on either hospitalizations or underlying health conditions.,Non si può presumere che i casi con informazioni mancanti siano simili a quelli con dati sulle ospedalizzazioni o sulle patologie pregresse.,Non si può presumere che quelli con informazioni mancanti siano simili a quelli con dati su ricoveri o condizioni di salute di base.,Non può essere assunto che coloro con informazioni mancanti siano simili a coloro che hanno dati sia sui ricoveri ospedalieri che sulle condizioni di salute sottostanti.,49.54,20.333,29.207,64.66,50.828,13.832,0.823,0.823,0.0
"Third, because of the limited availability of testing in many jurisdictions during this period, this analysis is likely biased toward more severe cases, and findings might change as testing becomes more widespread.","In terzo luogo, a causa della disponibilità limitata di test diagnostici in molte giurisdizioni nel periodo considerato, questa analisi è probabilmente orientata a favore dei casi più gravi, e i risultati potrebbero cambiare quando i test diagnostici saranno più diffusi.","In terzo luogo, a causa della limitata disponibilità di test in molte giurisdizioni durante questo periodo, questa analisi è probabilmente orientata verso casi più gravi e i risultati potrebbero cambiare man mano che i test diventano più diffusi.","Terzo, a causa della limitata disponibilità di test in molte giurisdizioni durante questo periodo, questa analisi è probabilmente influenzata da casi più gravi, e i risultati potrebbero cambiare man mano che i test diventano più diffusi.",42.431,39.791,2.64,70.465,64.954,5.511,0.918,0.869,0.049
"For example, asthma and COPD were included in a chronic lung disease category.","Ad esempio, l’asma e la BPCO sono state incluse nella categoria delle malattie polmonari croniche.","Ad esempio, l'asma e la BPCO sono state incluse in una categoria di malattia polmonare cronica.","Ad esempio, l'asma e la BPCO sono state incluse in una categoria di malattia polmonare cronica.",35.413,35.413,0.0,68.717,68.379,0.338,0.943,0.943,0.0
"Persons with underlying health conditions who have symptoms of COVID-19, including fever, cough, or shortness of breath, should immediately contact their health care provider.","Le persone con patologie pregresse che presentano sintomi di COVID-19, compresi febbre, tosse o fiato corto, devono contattare il proprio fornitore di assistenza sanitaria.","Le persone con condizioni di salute di base che presentano sintomi di COVID-19, tra cui febbre, tosse o respiro affannoso, devono contattare immediatamente il proprio medico.","Le persone con condizioni di salute sottostanti che presentano sintomi di COVID-19, tra cui febbre, tosse o difficoltà respiratoria, dovrebbero immediatamente contattare il proprio fornitore di assistenza sanitaria.",33.537,47.452,-13.915,59.216,70.79,-11.574,0.89,0.872,0.018
All persons should take steps to protect themselves from COVID-19 and to protect others.,Tutte le persone devono adottare misure per proteggere sé stesse e gli altri dal COVID-19.,Tutte le persone dovrebbero adottare misure per proteggersi dal COVID-19 e per proteggere gli altri.,Tutte le persone dovrebbero prendere misure per proteggersi dal COVID-19 e per proteggere gli altri.,21.364,16.944,4.42,73.067,66.168,6.899,0.924,0.921,0.003
"Community mitigation strategies, which aim to slow the spread of COVID-19, are important to protect all persons from COVID-19, especially persons with underlying health conditions and other persons at risk for severe COVID-19–associated disease (https://www.cdc.gov/ coronavirus/2019-ncov/downloads/community-mitigation- strategy.pdf).","Le strategie di attenuazione comunitarie, che mirano a ridurre la diffusione del COVID-19, sono essenziali per proteggere tutte le persone dal COVID-19 affette da patologie pregresse e altre persone a rischio di malattia grave associata al COVID-19 (https://www.cdc.gov/coronavirus/2019-ncov/downloads/community-mitigation-strategy.pdf).","Le strategie di mitigazione della comunità, che mirano a rallentare la diffusione di COVID-19, sono importanti per proteggere tutte le persone da COVID-19, in particolare le persone con condizioni di salute di base e altre persone a rischio di malattia grave associata a COVID-19 (https://www.cdc.gov/ coronavirus/2019-ncov/downloads/community-mitigation- strategy.pdf).","Le strategie di mitigazione comunitaria, che hanno lo scopo di rallentare la diffusione del COVID-19, sono importanti per proteggere tutte le persone dal COVID-19, specialmente le persone con condizioni di salute sottostanti e altre persone a rischio di malattia grave associata al COVID-19 (https://www.cdc.gov/coronavirus/2019-ncov/downloads/community-mitigation-strategy.pdf).",53.381,66.356,-12.975,77.85,80.383,-2.533,0.867,0.885,-0.018
What is added by this report?,Cosa viene aggiunto da questo report?,Cosa viene aggiunto da questo report?,Cosa aggiunge questo rapporto?,100.0,9.424,90.576,100.0,40.589,59.411,0.993,0.928,0.065
"Strategies to protect all persons and especially those with underlying health conditions, including social distancing and handwashing, should be implemented by all communities and all persons to help slow the spread of COVID-19.","Le strategie per proteggere tutte le persone, specialmente quelle affette da patologie pregresse, come il distanziamento sociale e il lavarsi le mani, devono essere adottate da tutte le comunità e tutte le persone per contribuire a rallentare la diffusione del COVID-19.","Le strategie per proteggere tutte le persone e in particolare quelle con condizioni di salute di base, tra cui il distanziamento sociale e il lavaggio delle mani, dovrebbero essere attuate da tutte le comunità e tutte le persone per contribuire a rallentare la diffusione del COVID-19.","Le strategie per proteggere tutte le persone e in particolare quelle con condizioni di salute sottostanti, tra cui il distanziamento sociale e il lavaggio delle mani, dovrebbero essere implementate da tutte le comunità e da tutte le persone per aiutare a rallentare la diffusione del COVID-19.",53.682,44.02,9.662,74.149,70.187,3.962,0.865,0.863,0.002
"However, COVID-19 has lower severity and mortality than SARS but is much more transmissive and affects more elderly individuals than youth and more men than women.","Tuttavia, il COVID-19 ha una gravità e una mortalità inferiori rispetto alla SARS, pur essendo molto più trasmissibile, e colpisce più gli anziani che i giovani, e più gli uomini che le donne.","Tuttavia, il COVID-19 ha una gravità e una mortalità inferiori rispetto alla SARS, ma è molto più trasmissivo e colpisce più individui anziani rispetto ai giovani e più uomini rispetto alle donne.","Tuttavia, il COVID-19 ha una gravità e una mortalità inferiori rispetto alla SARS, ma è molto più contagioso e colpisce più individui anziani rispetto ai giovani e più uomini rispetto alle donne.",46.971,46.971,0.0,72.766,68.381,4.385,0.933,0.929,0.004
"Although many questions still require answers, we hope that this review helps in the understanding and eradication of the threatening disease.","Sebbene molte domande necessitino ancora delle risposte, si spera che questa rassegna possa aiutare a comprendere ed eradicare questa malattia minacciosa.","Sebbene molte domande richiedano ancora risposte, speriamo che questa recensione aiuti a comprendere e sradicare la malattia minacciosa.","Sebbene molte domande richiedano ancora risposte, speriamo che questa recensione aiuti nella comprensione e nell'eradicazione della malattia minacciosa.",14.396,13.285,1.111,61.791,58.16,3.631,0.919,0.913,0.006
"The epidemic started in Wuhan, China, and quickly spread throughout the entire country and to near 50 others all over the world.","L’epidemia ha avuto inizio a Wuhan, in Cina, e si è diffusa velocemente per l’intero Paese e in altri 50 Paesi in tutto il mondo.","L'epidemia è iniziata a Wuhan, in Cina, e si è rapidamente diffusa in tutto il paese e in quasi 50 altri paesi in tutto il mondo.","L'epidemia è iniziata a Wuhan, in Cina, e si è rapidamente diffusa in tutto il paese e in quasi 50 altri paesi in tutto il mondo.",43.149,43.149,0.0,56.575,56.52,0.055,0.947,0.947,0.0
"According to PubMed (https://www.ncbi.nlm.nih.gov/pubmed/), in less than two months, over 200 papers have been published on COVID-19 including its virology, epidemiology, etiology, diagnosis, and treatment since the first report on January 7, 2020 that determined the sequence of the virus isolated from multiple patients.","Secondo PubMed (https://www.ncbi.nlm nih.gov/pubmed/), dal primo report del 7 gennaio 2020 che ha determinato la sequenza del virus isolato da diversi pazienti , in meno di due mesi sono stati pubblicati oltre 200 articoli sul COVID-19 comprendenti la sua virologia, epidemiologia, eziologia, diagnosi e cura.","Secondo PubMed (https://www.ncbi.nlm.nih.gov/pubmed/), in meno di due mesi sono stati pubblicati oltre 200 articoli su COVID-19 tra cui virologia, epidemiologia, eziologia, diagnosi e trattamento dalla prima relazione del 7 gennaio 2020 che ha determinato la sequenza del virus isolato da più pazienti.","Secondo PubMed (https://www.ncbi.nlm.nih.gov/pubmed/), in meno di due mesi, più di 200 articoli sono stati pubblicati su COVID-19, tra cui la sua virologia, epidemiologia, eziologia, diagnostica e trattamento, a partire dalla prima relazione del 7 gennaio 2020 che ha determinato la sequenza del virus isolato da pazienti multipli.",71.799,59.354,12.445,80.768,78.7,2.068,0.846,0.839,0.007
We will also discuss what we have learned so far regarding the prevention and prognosis of the disease as well as some remaining yet urgent questions.,"Verrà discusso anche ciò che si è appreso finora circa la prevenzione e la prognosi della malattia, insieme ad alcuni interrogativi urgenti ancora senza risposta.","Discuteremo anche di ciò che abbiamo appreso finora per quanto riguarda la prevenzione e la prognosi della malattia, nonché alcune domande rimanenti ma urgenti.","Discuteremo anche ciò che abbiamo imparato finora riguardo alla prevenzione e alla prognosi della malattia, nonché alcune questioni rimaste ancora urgenti.",31.365,15.308,16.057,53.006,50.44,2.566,0.918,0.929,-0.011
"Therefore, the current COVID-19 is the third CoV outbreak in the recorded history of humans.","Pertanto, quella di COVID-19 è la terza epidemia di coronavirus nella storia umana documentata.","Pertanto, l'attuale COVID-19 è il terzo focolaio di CoV nella storia registrata degli esseri umani.","Pertanto, l'attuale COVID-19 è la terza epidemia di CoV nella storia documentata dell'umanità.",8.513,39.181,-30.668,39.312,65.558,-26.246,0.626,0.884,-0.258
"On January 15, 2020 the first fatal case from Wuhan was reported.",Il 15 gennaio 2020 è stato registrato il primo caso fatale a Wuhan.,Il 15 gennaio 2020 è stato segnalato il primo caso fatale da Wuhan.,Il 15 gennaio 2020 è stato segnalato il primo caso fatale da Wuhan.,57.312,57.312,0.0,78.124,78.124,0.0,0.947,0.947,0.0
"On January 23, the city of Wuhan was locked down with all its public transportation stopped.","Il 23 gennaio, la città di Wuhan è stata chiusa e tutto il suo trasporto pubblico è stato sospeso.","Il 23 gennaio, la città di Wuhan è stata bloccata con tutti i suoi trasporti pubblici fermi.","Il 23 gennaio, la città di Wuhan è stata messa in isolamento, con tutti i trasporti pubblici fermati.",44.473,44.324,0.149,58.596,57.469,1.127,0.895,0.897,-0.002
"By the time of this report, the disease has already spread throughout China and near 50 other countries all over the world (Fig. 2).","Al momento della stesura di questo report, la malattia si è già diffusa in Cina e altri 50 Paesi in tutto il mondo (Fig.2).","Al momento di questo rapporto, la malattia si è già diffusa in tutta la Cina e in quasi 50 altri paesi in tutto il mondo (Fig. 2).","Al momento di questo rapporto, la malattia si è già diffusa in tutta la Cina e in quasi 50 altri paesi in tutto il mondo (Fig. 2).",55.687,55.687,0.0,70.812,71.1,-0.288,0.938,0.938,0.0
"SARS-CoV-2 infected people of all ages, but mainly at the age of 30-65.","Il SARS-CoV-2 ha infettato persone di tutte l’età, ma principalmente fra i 30 e i 65 anni.","Persone infette da SARS-CoV-2 di tutte le età, ma principalmente all'età di 30-65 anni.","Il SARS-CoV-2 ha infettato persone di tutte le età, ma principalmente tra i 30-65 anni.",15.28,47.208,-31.928,61.379,84.078,-22.699,0.862,0.948,-0.086
COVID-19 expanded in clusters mainly in and around Hubei.,Il COVID-19 si è espanso per cluster principalmente nello Hubei e nelle sue vicinanze.,Il COVID-19 si è espanso in cluster principalmente nell'Hubei e nei dintorni.,Il COVID-19 si è espanso principalmente in gruppi negli e intorno al Hubei.,30.367,28.67,1.697,67.569,51.249,16.32,0.886,0.819,0.067
The average time from onset to death was 9.5 (4.8-13) days.,"Il periodo medio tra l’esordio e il decesso era di 9,5 (4,8-13) giorni.","Il tempo medio dall'esordio al decesso è stato di 9,5 (4,8-13) giorni.","Il tempo medio dall'inizio alla morte era stato di 9,5 giorni (4,8-13).",48.6,26.566,22.034,58.531,34.957,23.574,0.913,0.776,0.137
"The mortality of patients with confirmed cases was 1.44% (95% CI: 1.10-1.86%), and the adjusted mortality of all the patients was 3.06% (95% CI: 2.02-4.59%).","La mortalità dei pazienti con casi confermati era del 1,44% (95% CI: 1,10-1,86%), e la mortalità aggiustata di tutti i pazienti era del 3,06% (95% CI: 2,02-4,59%).","La mortalità dei pazienti con casi confermati era dell'1,44% (IC 95%: 1,10-1,86%) e la mortalità aggiustata di tutti i pazienti era del 3,06% (IC 95%: 2,02-4,59%).","La mortalità dei pazienti con casi confermati è stata del 1,44% (95% CI: 1,10-1,86%), e la mortalità aggiustata di tutti i pazienti è stata del 3,06% (95% CI: 2,02-4,59%).",67.827,84.318,-16.491,86.145,92.861,-6.716,0.95,0.955,-0.005
"They can be divided into four genera, i.e., alpha, beta, gamma, and delta, of which alpha- and beta-CoVs are known to infect humans.","Essi possono essere divisi in quattro generi, ossia alfa, beta, gamma e delta, tra i quali gli alfa e i betacoronavirus sono noti per infettare gli esseri umani.","Possono essere suddivisi in quattro generi, ovvero alfa, beta, gamma e delta, di cui è noto che gli alfa e beta-CoV infettano gli esseri umani.","Possono essere suddivisi in quattro generi, vale a dire alfa, beta, gamma e delta, dei quali alfa- e beta-CoV sono noti per infettare gli esseri umani.",39.171,49.819,-10.648,60.665,69.627,-8.962,0.894,0.911,-0.017
"The first genomic sequence of SARS-CoV-2 was reported on January 10, 2020.",La prima sequenza genomica del SARS-CoV-2 è stata pubblicata il 10 gennaio 2020.,La prima sequenza genomica di SARS-CoV-2 è stata riportata il 10 gennaio 2020.,La prima sequenza genomico del SARS-CoV-2 è stata segnalata il 10 gennaio 2020.,53.335,53.335,0.0,79.45,80.616,-1.166,0.944,0.919,0.025
"Through transmission electron microscopy, SARS-CoV-2 particles were found in ultrathin sections of human airway epithelium.","Attraverso la microscopia elettronica a trasmissione, le particelle di SARS-CoV-2 sono state rinvenute in sezioni ultrasottili dell’epitelio respiratorio umano.","Attraverso la microscopia elettronica a trasmissione, le particelle di SARS-CoV-2 sono state trovate in sezioni ultrasottili dell'epitelio delle vie aeree umane.","Attraverso la microscopia elettronica a trasmissione, le particelle di SARS-CoV-2 sono state trovate in sezioni ultrasottili dell'epitelio dell'apparato respiratorio umano.",60.547,68.881,-8.334,80.57,89.092,-8.522,0.891,0.924,-0.033
SARS-CoV-2 can also form a novel short protein encoded by orf3b and a secreted protein encoded by orf8.,Il SARS-CoV-2 può anche formare una nuova proteina corta codificata dalla orf3b e una proteina secreta codificata dalla orf8.,SARS-CoV-2 può anche formare una nuova proteina corta codificata da orf3b e una proteina secreta codificata da orf8.,Il SARS-CoV-2 può anche formare una nuova proteina corta codificata da orf3b e una proteina secreta codificata da orf8.,67.305,72.654,-5.349,90.491,91.546,-1.055,0.926,0.932,-0.006
"They found that the complex, which had open and closed conformations, was assembled as a dimer and the ACE2-B0AT1 complex can bind two S proteins, which provides evidence for CoV recognition and infection.","Hanno riscontrato che il complesso, che presenta conformazioni chiuse e aperte, è stato assemblato come dimero e che il complesso ACE2-B0AT1 può legare due proteine S, il che fornisce una prova del riconoscimento e dell’infezione del CoV.","Hanno scoperto che il complesso, che aveva conformazioni aperte e chiuse, era assemblato come un dimero e il complesso ACE2-B0AT1 può legare due proteine S, il che fornisce la prova del riconoscimento e dell'infezione da CoV.","Hanno scoperto che il complesso, che aveva conformazioni aperte e chiuse, era assemblato come un dimero e che il complesso ACE2-B0AT1 può legare due proteine S, il che fornisce la prova del riconoscimento e dell'infezione del CoV.",50.462,58.354,-7.892,75.159,78.681,-3.522,0.86,0.866,-0.006
"It has been known that both SARS-CoV and MERS-CoV originated from bats and were transmitted to humans via civet cats and camels, respectively.","È risaputo che sia il SARS-CoV che il MERS-CoV hanno avuto origine dai pipistrelli e sono stati trasmessi all’uomo tramite zibetti e cammelli, rispettivamente.",È noto che sia il SARS-CoV che il MERS-CoV hanno avuto origine dai pipistrelli e sono stati trasmessi all'uomo rispettivamente tramite gatti zibetto e cammelli.,"È noto che sia il SARS-CoV che il MERS-CoV sono originati dai pipistrelli e sono stati trasmessi agli esseri umani attraverso i civeti e i cammelli, rispettivamente.",65.004,45.016,19.988,83.301,70.117,13.184,0.941,0.934,0.007
"Ji, et al., proposed snakes as a carrier of the virus from bats to humans which involved homologous recombination within the S protein.","Ji, et al hanno proposto i serpenti come portatori del virus dai pipistrelli agli esseri umani, il che implicava una ricombinazione omologa della proteina S.","Ji, et al., hanno proposto i serpenti come portatori del virus dai pipistrelli agli esseri umani che coinvolgevano la ricombinazione omologa all'interno della proteina S.","Ji, et al., hanno proposto i serpenti come vettori del virus dai pipistrelli agli esseri umani, il che comportò una ricombinazione omologa all'interno della proteina S.",62.233,59.726,2.507,81.805,83.043,-1.238,0.856,0.881,-0.025
The physicochemical properties of SARS-CoV-2 are largely not yet known.,Le proprietà fisico-chimiche del SARS-CoV-2 rimangono ancora ampiamente sconosciute.,Le proprietà fisico-chimiche del SARS-CoV-2 non sono ancora in gran parte note.,Le proprietà fisico-chimiche del SARS-CoV-2 sono in gran parte ancora sconosciute.,31.456,37.701,-6.245,65.581,71.798,-6.217,0.93,0.952,-0.022
