stringID;sourceLang;targetLang;sourceString;targetString
216;en_US;it_IT;COVID-19 SOS Alert;Avviso SOS COVID-19
217;en_US;it_IT;COVID-19 spread;diffusione del COVID-19
218;en_US;it_IT;COVID-19 spread;diffusione del COVID-19
219;en_US;it_IT;COVID-19 symptoms;sintomi del COVID-19
220;en_US;it_IT;COVID-19 symptoms;sintomi del COVID-19
221;en_US;it_IT;COVID-19 testing center;centro prelievi COVID-19
222;en_US;it_IT;COVID-19 transmission;trasmissione del COVID-19
223;en_US;it_IT;COVID-19 transmission;trasmissione del COVID-19
224;en_US;it_IT;COVID-19 travel ban;COVID-19 divieto di viaggio
225;en_US;it_IT;COVID-19 travel restrictions;COVID-19 restrizioni di viaggio
226;en_US;it_IT;COVID-19 treatment;terapia per il COVID-19
227;en_US;it_IT;COVID-19 treatment;terapia per il COVID-19
228;en_US;it_IT;COVID-19 uncontrolled spread;diffusione incontrollata del COVID-19
229;en_US;it_IT;COVID-19 vaccine;vaccino contro il COVID-19
230;en_US;it_IT;COVID-19 vaccines;vaccini contro il COVID-19
231;en_US;it_IT;COVID-19 virus;virus COVID-19
232;en_US;it_IT;COVID-19 virus outbreak;epidemia del virus COVID-19
233;en_US;it_IT;COVID-19 virus transmission;trasmissione del virus COVID-19
234;en_US;it_IT;COVID-19 WHO;COVID-19 OMS
235;en_US;it_IT;current crisis;crisi attuale
236;en_US;it_IT;current health crisis;attuale crisi sanitaria
237;en_US;it_IT;current outbreak;focolaio attuale
238;en_US;it_IT;current outbreak;epidemia attuale
239;en_US;it_IT;current pandemic;pandemia attuale
240;en_US;it_IT;CV;CV
241;en_US;it_IT;cv19;CV19
242;en_US;it_IT;CV-19;CV-19
243;en_US;it_IT;cvirus;cvirus
244;en_US;it_IT;deadly;mortale
245;en_US;it_IT;deadly outbreak;epidemia mortale
246;en_US;it_IT;deadly virus;virus mortale
247;en_US;it_IT;death rate;tasso di mortalità
248;en_US;it_IT;death toll;bilancio delle vittime
249;en_US;it_IT;deaths;decessi
250;en_US;it_IT;decontaminate;decontaminare
251;en_US;it_IT;detectable;rilevabile
252;en_US;it_IT;detergent;detergente
253;en_US;it_IT;diabetes;diabete
254;en_US;it_IT;diagnosable disease;malattia diagnosticabile
255;en_US;it_IT;diagnostic protocol;protocollo diagnostico
256;en_US;it_IT;diagnostic testing;test diagnostico
257;en_US;it_IT;difficulty breathing;respirazione difficoltosa
258;en_US;it_IT;disease itself;la malattia stessa
259;en_US;it_IT;disease outbreak;epidemia di malattia
260;en_US;it_IT;disease outbreak;focolaio della malattia
261;en_US;it_IT;disinfectant;disinfettante
262;en_US;it_IT;disposable;monouso
263;en_US;it_IT;Disposable hand sanitizer;Igienizzante mani monouso
264;en_US;it_IT;Do the Five;Segui le 5 regole
265;en_US;it_IT;domestic travel;viaggi nazionali
266;en_US;it_IT;droplet transmission;trasmissione tramite goccioline
267;en_US;it_IT;droplets;goccioline
268;en_US;it_IT;dry cough;tosse secca
269;en_US;it_IT;dry surface contamination;contaminazione della superficie asciutta
270;en_US;it_IT;ebola;ebola
271;en_US;it_IT;effective treatment;trattamento efficace
272;en_US;it_IT;Effects of coronavirus;Effetti del coronavirus
273;en_US;it_IT;electron microscope;microscopio elettronico
274;en_US;it_IT;emergency department;dipartimento per le emergenze
275;en_US;it_IT;epidemic;epidemico
276;en_US;it_IT;epidemic;epidemia
277;en_US;it_IT;epidemic and pandemic;epidemico e pandemico
278;en_US;it_IT;epidemic curve;curva epidemica
279;en_US;it_IT;epidemic disease;malattia epidemica
280;en_US;it_IT;epidemic outbreak;focolaio epidemico
281;en_US;it_IT;epidemic peak;picco dell'epidemia
282;en_US;it_IT;epidemic period;periodo dell'epidemia
283;en_US;it_IT;epidemic prevention;prevenzione dell'epidemia
284;en_US;it_IT;epidemic season;stagione dell'epidemia
285;en_US;it_IT;epidemic situation;situazione dell'epidemia
286;en_US;it_IT;epidemiologist;epidemiologo
287;en_US;it_IT;exposure;esposizione
288;en_US;it_IT;exposure time;tempo di esposizione
289;en_US;it_IT;extreme caution;estrema cautela
290;en_US;it_IT;eye protection;protezione per gli occhi
291;en_US;it_IT;face mask;maschera per il viso
292;en_US;it_IT;face masks;maschere per il viso
293;en_US;it_IT;family cluster;gruppo familiare
294;en_US;it_IT;fatality rate;tasso di mortalità
295;en_US;it_IT;fecal contamination;contaminazione fecale
296;en_US;it_IT;fever;febbre
297;en_US;it_IT;fight the virus;combattere il virus
298;en_US;it_IT;Fighting the outbreak;Lotta contro l'epidemia
299;en_US;it_IT;flatten the infection curve;appiattire la curva dell'infezione
300;en_US;it_IT;flu;influenza
301;en_US;it_IT;flu epidemic;epidemia di influenza
302;en_US;it_IT;fomites;fomiti
303;en_US;it_IT;food safety;sicurezza alimentare
304;en_US;it_IT;formaldehyde;formaldeide
305;en_US;it_IT;gastroenteritis;gastroenterite
306;en_US;it_IT;germicide;germicida
307;en_US;it_IT;global health emergency;emergenza sanitaria globale
308;en_US;it_IT;global outbreak;focolaio globale
309;en_US;it_IT;global pandemic;pandemia globale
310;en_US;it_IT;global warming;riscaldamento globale
311;en_US;it_IT;good respiratory hygiene;buona igiene respiratoria
312;en_US;it_IT;Guangdong;Guangdong
313;en_US;it_IT;H1N1;H1N1
314;en_US;it_IT;H1N1 virus;Virus H1N1
315;en_US;it_IT;hand disinfectant;disinfettante per le mani
316;en_US;it_IT;hand sanitizer;disinfettante per le mani
317;en_US;it_IT;hand sanitizer;igienizzante mani
318;en_US;it_IT;hand sanitizer dispenser;distributore di igienizzante mani
319;en_US;it_IT;hand sanitizer gel;gel igienizzante mani
320;en_US;it_IT;hand sanitizer spray;spray igienizzante mani
321;en_US;it_IT;hand-washing;lavaggio delle mani
322;en_US;it_IT;health care provider;assistente sanitario
323;en_US;it_IT;health crisis;crisi sanitaria
324;en_US;it_IT;health plan carrier;assicurazione sanitaria
325;en_US;it_IT;health services;servizi sanitari
326;en_US;it_IT;healthcare professional;operatore sanitario
327;en_US;it_IT;healthcare provider;fornitore di servizi sanitari
328;en_US;it_IT;heart failure;arresto cardiaco
329;en_US;it_IT;Hepatitis B virus;Virus dell'epatite B
330;en_US;it_IT;herpes simplex virus;virus dell'herpes simplex
331;en_US;it_IT;high fever;febbre alta
332;en_US;it_IT;HIV;HIV
333;en_US;it_IT;home isolation;isolamento a casa
334;en_US;it_IT;home quarantine;quarantena a casa
335;en_US;it_IT;hospitalize;ospedalizzare
336;en_US;it_IT;household bleach;candeggina per uso domestico
337;en_US;it_IT;Hubei;Hubei
338;en_US;it_IT;hydrogen peroxide;perossido di idrogeno
339;en_US;it_IT;hygiene;igiene
340;en_US;it_IT;illness;malattia
341;en_US;it_IT;immune system;sistema immunitario
342;en_US;it_IT;immunity;immunità
343;en_US;it_IT;immunocompromised;immunodeficiente
344;en_US;it_IT;immunologist;immunologo
345;en_US;it_IT;incubation;incubazione
346;en_US;it_IT;incubation period;periodo di incubazione
347;en_US;it_IT;indirect contact;contatto indiretto
348;en_US;it_IT;infect;infettare
349;en_US;it_IT;infected;infetto
350;en_US;it_IT;infection;infezione
351;en_US;it_IT;infectious;infettivo
352;en_US;it_IT;infectivity;infettività
353;en_US;it_IT;influenza;influenza
354;en_US;it_IT;initial transmission event;evento di trasmissione iniziale
355;en_US;it_IT;instant hand sanitizer;igienizzante mani istantaneo
356;en_US;it_IT;intensive care equipment;attrezzatura per terapia intensiva
357;en_US;it_IT;intermediate host;ospite intermedio
358;en_US;it_IT;international spread;diffusione internazionale
359;en_US;it_IT;international travel;viaggi internazionali
360;en_US;it_IT;intrauterine;intrauterina
361;en_US;it_IT;intubation;intubazione
362;en_US;it_IT;isolation;isolamento
363;en_US;it_IT;isolation period;periodo di isolamento
364;en_US;it_IT;isolation room;stanza per l'isolamento
365;en_US;it_IT;isolation valve;valvola di isolamento
366;en_US;it_IT;isolation ward;reparto di isolamento
367;en_US;it_IT;Isopropanol;isopropanolo
368;en_US;it_IT;laboratory test kit;kit per test di laboratorio
369;en_US;it_IT;laboratory testing;test di laboratorio
370;en_US;it_IT;lack of testing;mancanza di test
371;en_US;it_IT;lack of tests;mancanza di test
372;en_US;it_IT;latest updates;ultimi aggiornamenti
373;en_US;it_IT;liver failure;insufficienza epatica
374;en_US;it_IT;local public health authority;autorità sanitaria pubblica locale
375;en_US;it_IT;lockdown;confinamento
376;en_US;it_IT;long exposure;esposizione prolungata
377;en_US;it_IT;lungs;polmoni
378;en_US;it_IT;major outbreak;focolaio principale
379;en_US;it_IT;mandatory quarantine;quarantena obbligatoria
380;en_US;it_IT;masks;maschere
381;en_US;it_IT;mass gathering;assembramento
382;en_US;it_IT;measles;morbillo
383;en_US;it_IT;mechanical ventilation;ventilazione artificiale
384;en_US;it_IT;media coverage;copertura mediatica
385;en_US;it_IT;medical care;cure mediche
386;en_US;it_IT;medicine;medicinale
387;en_US;it_IT;medicines;medicinali
388;en_US;it_IT;MERS;MERS
389;en_US;it_IT;MERS CoV;MERS CoV
390;en_US;it_IT;microbiologist;microbiologo
391;en_US;it_IT;mild cough;tosse lieve
392;en_US;it_IT;mortality rate;tasso di mortalità
393;en_US;it_IT;multi-organ failure;insufficienza multiorgano
394;en_US;it_IT;mumps virus;virus della parotite
395;en_US;it_IT;n95;n95
396;en_US;it_IT;n95 mask;mascherina n95
397;en_US;it_IT;n95 respirator;respiratore n95
398;en_US;it_IT;nasal congestion;congestione nasale
399;en_US;it_IT;ncov;ncov
400;en_US;it_IT;ncov-2019;ncov-2019
401;en_US;it_IT;neutral detergent;detergente neutro
402;en_US;it_IT;new coronavirus;nuovo coronavirus
403;en_US;it_IT;new coronavirus pneumonia;polmonite da nuovo coronavirus
404;en_US;it_IT;new normal;new normal
405;en_US;it_IT;NIH;NIH
406;en_US;it_IT;novel corona virus;nuovo coronavirus
407;en_US;it_IT;novel coronavirus;nuovo coronavirus
408;en_US;it_IT;novel coronavirus infection;infezione da nuovo coronavirus
409;en_US;it_IT;novel coronavirus outbreak;nuovo focolaio di coronavirus
410;en_US;it_IT;novel coronavirus outbreak;epidemia del nuovo coronavirus
411;en_US;it_IT;novel coronavirus pneumonia;polmonite da nuovo coronavirus
412;en_US;it_IT;novel virus;nuovo virus
413;en_US;it_IT;ongoing outbreak;epidemia in corso
414;en_US;it_IT;online medical consultation;consulenza medica online
415;en_US;it_IT;onset;inizio
416;en_US;it_IT;outbreak;focolaio
417;en_US;it_IT;outbreak;epidemia
418;en_US;it_IT;outbreak of coronavirus;epidemia di coronavirus
419;en_US;it_IT;outbreak of disease;focolaio della malattia
420;en_US;it_IT;outbreak readiness;responsività alle epidemie
421;en_US;it_IT;overall case fatality;fatalità complessiva del caso
422;en_US;it_IT;pandemic;pandemico
423;en_US;it_IT;pandemic;pandemia
424;en_US;it_IT;pandemic influenza;influenza pandemica
425;en_US;it_IT;pandemic outbreak;epidemia pandemica
426;en_US;it_IT;pandemic plan;piano per la pandemia
427;en_US;it_IT;pandemic potential;potenziale pandemico
428;en_US;it_IT;pangolin;pangolino
429;en_US;it_IT;pathogen;patogeno
430;en_US;it_IT;pathology;patologia
431;en_US;it_IT;patient care equipment;attrezzature per la cura del paziente
432;en_US;it_IT;personal protective equipment;equipaggiamento per la protezione personale
433;en_US;it_IT;person-to-person transmission;trasmissione da persona a persona
434;en_US;it_IT;phlegm;catarro
435;en_US;it_IT;physical contact;contatto fisico
436;en_US;it_IT;plague;peste
437;en_US;it_IT;pneumonia;polmonite
438;en_US;it_IT;pneumonia;polmonite
439;en_US;it_IT;pneumonia epidemic;epidemia di polmonite
440;en_US;it_IT;pneumonias;polmoniti
441;en_US;it_IT;positive test;test positivo
442;en_US;it_IT;potential exposure;esposizione potenziale
443;en_US;it_IT;precaution;precauzione
444;en_US;it_IT;precautionary;precauzionale
445;en_US;it_IT;precautions;precauzioni
446;en_US;it_IT;pre-existing condition;condizioni pre-esistenti
447;en_US;it_IT;preparedness;preparazione
448;en_US;it_IT;prevent virus;prevenire il virus
449;en_US;it_IT;prognosis;prognosi
450;en_US;it_IT;prolonged exposure;esposizione prolungata
451;en_US;it_IT;protect myself;proteggermi
452;en_US;it_IT;protect others;proteggere gli altri
453;en_US;it_IT;protect yourself;proteggiti
454;en_US;it_IT;protective measures;misure protettive
455;en_US;it_IT;public exposure;esposizione pubblica
456;en_US;it_IT;public health crisis;crisi di salute pubblica
457;en_US;it_IT;pulmonary tissue damage;danno al tessuto polmonare
458;en_US;it_IT;purell hand sanitizer;igienizzante mani Purell
459;en_US;it_IT;quarantine;mettere in quarantena
460;en_US;it_IT;quarantine;quarantena
461;en_US;it_IT;quarantine area;area in quarantena
462;en_US;it_IT;quarantine facility;struttura per la quarantena
463;en_US;it_IT;quarantine measures;misure di quarantena
464;en_US;it_IT;quarantine period;periodo di quarantena
465;en_US;it_IT;quarantine room;stanza per la quarantena
466;en_US;it_IT;quarantine zone;zona in quarantena
467;en_US;it_IT;rapid risk assessment;rapida valutazione del rischio
468;en_US;it_IT;reagent;reagente
469;en_US;it_IT;Recovered coronavirus patient;Paziente con il coronavirus ricoverato
470;en_US;it_IT;regular flu;influenza regolare
471;en_US;it_IT;reinfection;reinfezione
472;en_US;it_IT;renal disease;malattia renale
473;en_US;it_IT;renal failure;insufficienza renale
474;en_US;it_IT;repatriate;rimpatriare
475;en_US;it_IT;repeated exposure;esposizione ripetuta
476;en_US;it_IT;respirator;respiratore
477;en_US;it_IT;respiratory;respiratorio
478;en_US;it_IT;respiratory disease;malattia respiratoria
479;en_US;it_IT;respiratory distress;problema respiratorio
480;en_US;it_IT;respiratory droplets;goccioline respiratorie
481;en_US;it_IT;respiratory hygiene;igiene respiratoria
482;en_US;it_IT;respiratory illness;malattia respiratoria
483;en_US;it_IT;respiratory syncytial virus;virus respiratorio sinciziale
484;en_US;it_IT;respiratory syndrome;sindrome respiratoria
485;en_US;it_IT;respiratory tract disease;malattia del tratto respiratorio
486;en_US;it_IT;respiratory virus;virus respiratorio
487;en_US;it_IT;restrictions;restrizioni
488;en_US;it_IT;resurge;rinascita
489;en_US;it_IT;risk exposure;esposizione al rischio
490;en_US;it_IT;RNA;RNA
491;en_US;it_IT;rubeola;rubeola
492;en_US;it_IT;runny nose;naso che cola
493;en_US;it_IT;Sanitizing hand sanitizer;Igienizzante mani disinfettante
494;en_US;it_IT;SARS;SARS
495;en_US;it_IT;SARS-CoV;SARS-CoV
496;en_US;it_IT;SARS-CoV-2;SARS-CoV-2
497;en_US;it_IT;sars-related coronavirus;coronavirus correlato a SARS
498;en_US;it_IT;seasonal flu;influenza stagionale
499;en_US;it_IT;seasonal influenza;influenza stagionale
500;en_US;it_IT;secretion;secrezione
501;en_US;it_IT;self isolation;auto-isolamento
502;en_US;it_IT;self quarantine;auto-quarantena
503;en_US;it_IT;sepsis;sepsi
504;en_US;it_IT;septic shock;shock settico
505;en_US;it_IT;Severe Acute Respiratory Syndrome;grave sindrome respiratoria acuta
506;en_US;it_IT;Severe outbreak;Grave epidemia
507;en_US;it_IT;shortness of breath;mancanza di respiro
508;en_US;it_IT;sickened;malato
