English;Italian
Hubei;Hubei
hydrogen peroxide;perossido di idrogeno
hygiene;igiene
illness;malattia
immune system;sistema immunitario
immunity;immunità
immunocompromised;immunodeficiente
immunologist;immunologo
incubation;incubazione
incubation period;periodo di incubazione
indirect contact;contatto indiretto
infect;infettare
infected;infetto
infection;infezione
infectious;infettivo
infectivity;infettività
influenza;influenza
initial transmission event;evento di trasmissione iniziale
instant hand sanitizer;igienizzante mani istantaneo
intensive care equipment;attrezzatura per terapia intensiva
intermediate host;ospite intermedio
international spread;diffusione internazionale
international travel;viaggi internazionali
intrauterine;intrauterina
intubation;intubazione
isolation;isolamento
isolation period;periodo di isolamento
isolation room;stanza per l'isolamento
isolation valve;valvola di isolamento
isolation ward;reparto di isolamento
Isopropanol;isopropanolo
laboratory test kit;kit per test di laboratorio
laboratory testing;test di laboratorio
lack of testing;mancanza di test
lack of tests;mancanza di test
latest updates;ultimi aggiornamenti
liver failure;insufficienza epatica
local public health authority;autorità sanitaria pubblica locale
lockdown;confinamento
long exposure;esposizione prolungata
lungs;polmoni
major outbreak;focolaio principale
mandatory quarantine;quarantena obbligatoria
masks;maschere
mass gathering;assembramento
measles;morbillo
mechanical ventilation;ventilazione artificiale
media coverage;copertura mediatica
medical care;cure mediche
medicine;medicinale
medicines;medicinali
MERS;MERS
MERS CoV;MERS CoV
microbiologist;microbiologo
mild cough;tosse lieve
mortality rate;tasso di mortalità
multi-organ failure;insufficienza multiorgano
mumps virus;virus della parotite
n95;n95
n95 mask;mascherina n95
n95 respirator;respiratore n95
nasal congestion;congestione nasale
ncov;ncov
ncov-2019;ncov-2019
neutral detergent;detergente neutro
new coronavirus;nuovo coronavirus
new coronavirus pneumonia;polmonite da nuovo coronavirus
new normal;new normal
NIH;NIH
novel corona virus;nuovo coronavirus
novel coronavirus;nuovo coronavirus
novel coronavirus infection;infezione da nuovo coronavirus
novel coronavirus outbreak;nuovo focolaio di coronavirus
novel coronavirus outbreak;epidemia del nuovo coronavirus
novel coronavirus pneumonia;polmonite da nuovo coronavirus
novel virus;nuovo virus
ongoing outbreak;epidemia in corso
online medical consultation;consulenza medica online
onset;inizio
outbreak;focolaio
outbreak;epidemia
outbreak of coronavirus;epidemia di coronavirus
outbreak of disease;focolaio della malattia
outbreak readiness;responsività alle epidemie
overall case fatality;fatalità complessiva del caso
pandemic;pandemico
pandemic;pandemia
pandemic influenza;influenza pandemica
pandemic outbreak;epidemia pandemica
pandemic plan;piano per la pandemia
pandemic potential;potenziale pandemico
pangolin;pangolino
pathogen;patogeno
pathology;patologia
patient care equipment;attrezzature per la cura del paziente
personal protective equipment;equipaggiamento per la protezione personale
person-to-person transmission;trasmissione da persona a persona
phlegm;catarro
physical contact;contatto fisico
plague;peste
pneumonia;polmonite
pneumonia;polmonite
pneumonia epidemic;epidemia di polmonite
pneumonias;polmoniti
positive test;test positivo
potential exposure;esposizione potenziale
precaution;precauzione
precautionary;precauzionale
precautions;precauzioni
pre-existing condition;condizioni pre-esistenti
preparedness;preparazione
prevent virus;prevenire il virus
prognosis;prognosi
prolonged exposure;esposizione prolungata
protect myself;proteggermi
protect others;proteggere gli altri
protect yourself;proteggiti
protective measures;misure protettive
public exposure;esposizione pubblica
public health crisis;crisi di salute pubblica
pulmonary tissue damage;danno al tessuto polmonare
purell hand sanitizer;igienizzante mani Purell
quarantine;mettere in quarantena
quarantine;quarantena
quarantine area;area in quarantena
quarantine facility;struttura per la quarantena
quarantine measures;misure di quarantena
quarantine period;periodo di quarantena
quarantine room;stanza per la quarantena
quarantine zone;zona in quarantena
rapid risk assessment;rapida valutazione del rischio
reagent;reagente
Recovered coronavirus patient;Paziente con il coronavirus ricoverato
regular flu;influenza regolare
reinfection;reinfezione
renal disease;malattia renale
renal failure;insufficienza renale
repatriate;rimpatriare
repeated exposure;esposizione ripetuta
respirator;respiratore
respiratory;respiratorio
respiratory disease;malattia respiratoria
respiratory distress;problema respiratorio
respiratory droplets;goccioline respiratorie
respiratory hygiene;igiene respiratoria
respiratory illness;malattia respiratoria
respiratory syncytial virus;virus respiratorio sinciziale
respiratory syndrome;sindrome respiratoria
respiratory tract disease;malattia del tratto respiratorio
respiratory virus;virus respiratorio
restrictions;restrizioni
resurge;rinascita
risk exposure;esposizione al rischio
RNA;RNA
rubeola;rubeola
runny nose;naso che cola
Sanitizing hand sanitizer;Igienizzante mani disinfettante
SARS;SARS
SARS-CoV;SARS-CoV
SARS-CoV-2;SARS-CoV-2
sars-related coronavirus;coronavirus correlato a SARS
seasonal flu;influenza stagionale
seasonal influenza;influenza stagionale
secretion;secrezione
self isolation;auto-isolamento
self quarantine;auto-quarantena
sepsis;sepsi
septic shock;shock settico
Severe Acute Respiratory Syndrome;grave sindrome respiratoria acuta
Severe outbreak;Grave epidemia
shortness of breath;mancanza di respiro
sickened;malato
sickness;malattia
sneeze;starnuto
sneezes;starnuti
sneezing;starnutendo
social distancing;distanza sociale
social distancing;riduzione dei contatti
social distancing measures;misure per evitare i contatti
social isolation;isolamento sociale
sore throat;gola infiammata
SOS Alert;allarme SOS
spanish flu;influenza spagnola
specimen collection;raccolta dei campioni
spread;diffondere
spread;diffusione
spread of coronavirus;diffusione del coronavirus
spread of virus;diffusione del virus
sputum;sputo
stigmatisation;stigmatizzazione
stomach virus;virus allo stomaco
strain of virus;specie del virus
sun exposure;esposizione al sole
supportive;di supporto
surface;superficie
surfaces;superfici
suspected infection;sospetta infezione
swab;tampone
swine flu;influenza suina
symptom;sintomo
symptomatic;sintomatico
symptoms;sintomi
targeted disinfection;disinfezione mirata
test kit;kit per test
testing center;centro prelievi
testing error;errore di test
the incubation period;il periodo di incubazione
the novel coronavirus;il nuovo coronavirus
tissue damage;danno ai tessuti
toilet paper shortage;carenza di carta igienica
touch;toccare
touching;toccante
touching face;toccarsi la faccia
tp shortage;carenza di ci
transmissibility;trasmissibilità
transmissible;trasmissibile
transmission;trasmissione
transmission potential;potenziale di trasmissione
travel advisory;consigli di viaggio
travel ban;divieto di viaggio
travel restrictions;restrizioni di viaggio
typical flu;influenza tipica
underlying disease;malattia di base
updates;aggiornamenti
use hand sanitizer;usare l'igienizzante mani
vaccine;vaccino
vaccines;vaccini
ventilation;ventilazione
ventilator;ventilatore
ventilators;ventilatori
viral infection;infezione virale
viral outbreak;focolaio virale
viral outbreak;epidemia virale
viral pandemic;pandemia virale
viral pneumonia;polmonite virale
viral transmission;trasmissione virale
virtual care;assistenza virtuale
virtual lockdown;confinamento virtuale
virulence;virulenza
virus;virus
virus carrier;vettore del virus
virus infection;infezione da virus
virus itself;il virus stesso
virus mask;mascherina per il virus
virus outbreak;epidemia del virus
virus outbreak;focolaio del virus
virus prevention;prevenzione del virus
virus protection;protezione dal virus
virus scare;paura del virus
virus spread;diffusione del virus
virus spreads;virus si diffonde
virus strain;ceppo virale
virus strain;specie di virus
virus transmission;trasmissione del virus
vivid-19;vivid-19
wash your hands;lavati le mani
washing hands;lavarsi le mani
washing ones hands;lavarsi le mani
WFH;LDC
white blood cell count;conta dei globuli bianchi
WHO;OMS
WHO Confirmed;confermato dall'OMS
WHO Deaths;decessi secondo l'OMS
widespread outbreak;epidemia diffusa
widespread transmission;trasmissione diffusa
working from home;lavorare da casa
World Health Organization;Organizzazione Mondiale della Sanità
World Health Organization;Organizzazione mondiale della sanità
Wuhan;Wuhan
zoonotic disease;malattia zoonotica
zoonotic virus;virus zoonotico
